match_id,stage,home_team,away_team,home_rank,away_rank,rank_gap,rivalry_flag,host_involved,city_population_m,venue_capacity,day_of_week,kickoff_hour_local,buzz_index_train,attendance_pct
m_dffd20a4,3,Italy,Uruguay,61,68,7,0,0,6.72,90000,3,22,0.4128772411616093,0.5250560961133485
m_fe057e5d,4,Japan,Spain,57,80,23,0,0,6.31,90000,4,15,0.5074943858600498,0.5429497438456635
m_90fd92ad,2,Uruguay,Brazil,11,21,10,1,0,3.92,90000,4,16,0.5836616260852382,0.6840037630151214
m_44a66aa3,4,Italy,Netherlands,19,82,63,0,0,6.59,90000,2,15,0.41422050982521275,0.598151462907969
m_ddc9c2e9,4,Germany,Spain,75,46,29,0,0,7.39,40000,1,17,0.372259054173586,0.5633803631201185
m_9b3d0e8a,1,India,Croatia,89,46,43,0,0,0.8,90000,5,20,0.19633514226316634,0.36165073158201744
m_0e55750f,2,Croatia,Spain,1,92,91,0,1,1.62,80000,3,12,0.19368879524997473,0.5001172699343968
m_4f44d0a4,2,Brazil,England,32,16,16,0,0,3.49,40000,6,21,0.33333216666084253,0.47089179006603865
m_76d7ff05,2,Colombia,Senegal,85,22,63,0,0,3.57,60000,4,22,0.24753264548829798,0.48362496710172687
m_aa98a189,4,Belgium,Colombia,77,6,71,0,0,9.05,60000,1,13,0.2610923219526497,0.617124416428149
m_0bf12264,3,Colombia,Japan,34,94,60,0,0,7.0,60000,3,12,0.17523807546841935,0.504365623829443
m_2742d568,2,Argentina,Spain,17,56,39,0,0,4.05,90000,3,18,0.30504990985303304,0.37556891233327766
m_242b9e7d,5,India,Brazil,55,45,10,1,0,8.19,60000,5,13,0.8474706443070651,0.820248456886293
m_c430ff1f,4,England,Senegal,19,58,39,0,0,3.57,40000,1,20,0.36757230872096164,0.6241507963775836
m_10472c15,1,Brazil,Croatia,74,28,46,0,0,9.91,40000,1,19,0.17721792089860083,0.4223556082213075
m_6469cff0,3,Netherlands,Morocco,42,17,25,0,0,7.93,60000,4,21,0.3504280717894057,0.46268907870332654
m_dfe35cf5,5,Japan,England,59,36,23,0,0,8.18,60000,1,12,0.5335426761236266,0.7344579066583703
m_9976f03c,5,France,Brazil,73,12,61,0,0,2.98,40000,6,14,0.4340831305029607,0.5577578145080512
m_a834c0c1,1,England,Argentina,75,50,25,0,0,1.88,80000,6,17,0.15096399385792375,0.3749074373724824
m_154e7e7b,3,Senegal,Croatia,38,59,21,0,0,4.2,60000,1,22,0.43255478440385553,0.5420290865908522
m_cb0df81e,4,France,Morocco,31,12,19,0,0,3.68,40000,4,14,0.41954668207132473,0.574152933204706
m_309e2dcc,0,Morocco,Brazil,66,100,34,0,0,7.81,60000,3,20,0.11963271543153547,0.35
m_747cc848,3,Portugal,Belgium,88,62,26,0,0,2.16,40000,5,21,0.40760285746617547,0.5144265329225021
m_e8122c7b,1,Spain,Uruguay,69,40,29,0,0,5.51,90000,1,21,0.16599618178042916,0.4431455463315457
m_d0342b2d,5,Spain,Senegal,50,93,43,0,0,6.47,60000,5,13,0.47875629722520446,0.7192772908910434
m_d107c607,4,Italy,France,30,2,28,0,0,4.16,60000,6,17,0.42456185676591196,0.5876750130112683
m_92a467ad,3,Spain,England,35,93,58,0,1,2.41,80000,2,13,0.5312246933677118,0.6123176937067452
m_f1fc7b6e,0,Spain,Uruguay,59,94,35,0,0,9.01,80000,0,14,0.1582449668501894,0.35
m_2d5f78a5,0,Spain,Brazil,17,100,83,0,0,1.82,80000,5,21,0.030493591030850756,0.3968477305439361
m_98a18c97,2,Mexico,Morocco,95,25,70,0,0,3.39,80000,1,20,0.2955208178381035,0.4668577615479925
m_103d85c1,2,France,Belgium,66,85,19,0,0,7.69,60000,5,20,0.33010533979687845,0.5251015502141337
m_ab1b3e18,1,India,Croatia,80,86,6,0,0,6.25,60000,1,13,0.24820213607788524,0.4477820311310602
m_7131aeb0,3,Croatia,France,21,74,53,0,0,7.44,80000,6,19,0.23550861707242696,0.5439079616849128
m_d2cede26,3,Japan,Netherlands,94,31,63,0,0,8.18,80000,0,14,0.24752356207640488,0.49296692982313395
m_95686db8,5,Colombia,Belgium,52,47,5,0,0,9.01,60000,2,13,0.5954630316285775,0.7189153738945022
m_4e96ab13,5,India,USA,65,60,5,0,1,3.39,90000,5,22,0.7840693194298071,0.6553039119758671
m_e4999c59,5,Colombia,Argentina,14,73,59,0,0,5.01,40000,3,21,0.41980542703062107,0.6415767915204185
m_54cc5589,2,Portugal,Brazil,16,98,82,0,0,7.04,80000,2,19,0.23418350506734267,0.4426826646988764
m_c762f639,3,Italy,Argentina,55,41,14,0,0,8.05,40000,0,14,0.3280205564161035,0.47784123777028686
m_ceb6b243,3,Japan,Morocco,9,50,41,0,0,5.99,90000,5,19,0.31872661021788173,0.5216119537282856
m_bbcb02d7,0,Mexico,Netherlands,8,23,15,0,0,5.38,90000,1,17,0.18268961578774723,0.3703581112309144
m_8212e851,2,Belgium,Mexico,73,12,61,0,0,7.07,90000,3,12,0.21405858174763678,0.35
m_c3c26342,4,Germany,Croatia,34,71,37,0,0,4.13,60000,2,13,0.45133626421425554,0.5851119407352294
m_a5be42e3,2,USA,Portugal,33,96,63,0,0,8.99,40000,2,13,0.20892563183957205,0.4956161222169056
m_387b2d24,4,Italy,Senegal,86,83,3,0,0,2.52,90000,3,18,0.544911398565366,0.6722705761697523
m_c7247344,0,Italy,Croatia,94,22,72,0,0,8.9,80000,2,17,0.007803764014762975,0.35
m_1794c996,1,Japan,Argentina,7,56,49,0,0,6.61,90000,0,13,0.1424704715414337,0.3753001483864621
m_e8f4e7e0,3,Morocco,India,82,16,66,0,0,6.21,80000,3,12,0.23375100875037835,0.5376136050816537
m_85b1c8db,0,Uruguay,India,21,58,37,1,0,4.96,80000,0,16,0.4661856701532649,0.4850385734214338
m_6f3c5df0,3,USA,Italy,5,72,67,0,0,1.97,90000,3,22,0.26857539509497186,0.527939085485884
m_d2a10cb7,5,Spain,Senegal,71,94,23,0,0,8.72,80000,0,13,0.564276358470181,0.6339100490693439
m_6923b676,1,Portugal,Uruguay,12,51,39,1,0,1.0,80000,1,21,0.4219330921431478,0.645222732661697
m_a595d937,1,USA,Argentina,59,6,53,0,0,3.06,60000,1,21,0.22709432840663957,0.3536974349541781
m_c6a43502,0,Argentina,Senegal,81,2,79,0,1,1.54,40000,2,17,0.15193949849325228,0.537133602788582
m_ab8cab20,1,Senegal,Argentina,58,62,4,0,0,1.51,60000,3,13,0.2863743878562422,0.4687811571809876
m_eec76cf0,4,Japan,France,88,98,10,0,0,4.21,60000,5,22,0.45138156032183097,0.6027221745103197
m_b86233c6,1,Colombia,Spain,37,93,56,0,0,2.02,60000,3,20,0.2280232314233535,0.38987358734228916
m_a9180c3c,3,USA,Netherlands,83,42,41,0,0,6.02,40000,0,16,0.34834971827560945,0.5902230430889712
m_21c990fc,3,Portugal,England,45,43,2,0,1,6.46,40000,5,18,0.6748431588477004,0.7871426508628336
m_1d7f8a44,3,Uruguay,Brazil,80,52,28,0,0,8.88,90000,2,15,0.339962772730902,0.4961328953220071
m_a271ac26,3,Netherlands,Belgium,25,58,33,1,0,3.35,60000,6,13,0.5854003502817312,0.695069672788046
m_04e76144,4,Colombia,Germany,27,20,7,0,0,3.44,40000,2,14,0.47614268330381665,0.6517354107751132
m_140afed3,2,Brazil,Netherlands,51,56,5,0,0,2.84,90000,6,16,0.33331661641603255,0.3500155707272993
m_c1923c60,5,Spain,Germany,42,67,25,0,0,7.93,60000,5,12,0.5710275854306013,0.5076978466894528
m_bd63d081,0,Portugal,Italy,71,59,12,0,0,4.57,60000,3,15,0.06758473049082493,0.35
m_2265ddc3,3,Japan,India,42,48,6,1,0,5.75,80000,6,15,0.6725865797398942,0.7436448964533124
m_98390a55,1,Morocco,Mexico,60,35,25,0,0,4.06,40000,1,13,0.17846646809911615,0.35
m_fc9b5608,3,Mexico,Belgium,72,8,64,0,0,1.99,80000,6,20,0.23559744408634892,0.4296481201913603
m_5b320715,1,Senegal,USA,79,76,3,0,0,1.47,60000,3,17,0.2959124126855966,0.3864179006840995
m_2e550d07,5,Netherlands,Spain,58,32,26,0,0,8.75,60000,6,20,0.5500008020793578,0.7043786639171704
m_5290c413,5,Japan,England,80,93,13,0,0,3.02,60000,5,17,0.6106535923898126,0.6247365471002898
m_9df8d9d3,5,Mexico,USA,72,45,27,0,0,9.45,90000,3,13,0.5518691791531214,0.6910335009888282
m_47aa1080,1,India,Colombia,100,85,15,0,1,9.5,80000,4,12,0.40148721671293974,0.5584001133414521
m_fc056535,3,Mexico,Morocco,96,67,29,0,0,5.05,80000,0,15,0.33957124630872504,0.5919301597537987
m_f063d95f,5,Morocco,England,81,27,54,0,0,9.61,60000,0,12,0.41865602773096633,0.6068977882636679
m_33f637db,4,Mexico,Italy,100,3,97,0,0,0.77,80000,4,19,0.3074557158041442,0.5529885372578951
